conference,year,season,session_id,paper_id,area_code,area_name,tier1,map_source,title
IEDM,2023,S2023-24,9,9-5,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,1200V E-mode GaN Monolithic Integration Platform on Sapphire with Ultra-thin Buffer
IEDM,2023,S2023-24,9,9-6,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,650-V GaN-on-Si Power Integration Platform Using Virtual-Body p-GaN Gate HEMT to Screen
IEDM,2023,S2023-24,9,9-7,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,DrGaN: an Integrated CMOS Driver-GaN Power Switch Technology on 300mm GaN-on-Si with E
IEDM,2023,S2023-24,10,10-1,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Status and Performance of Integration Modules Toward Scaled CMOS with Transition Metal
IEDM,2023,S2023-24,10,10-2,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Wafer-scale CVD Monolayer WSe p-FETs with Record-high 727 µA/µm I and 490 µS/µm
IEDM,2023,S2023-24,10,10-3,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Reliability Assessment of Double-Gated Wafer-Scale MoS Field Effect Transistors through
IEDM,2023,S2023-24,10,10-4,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,High Mobility TMD NMOS and PMOS Transistors and GAA Architecture for Ultimate CMOS
IEDM,2023,S2023-24,10,10-5,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,Low N-Type Contact Resistance to Carbon Nanotubes in Highly Scaled Contacts through
IEDM,2023,S2023-24,10,10-6,D9,Emerging & Beyond-CMOS Devices,Devices & Process Technology,session,High-performance and low parasitic capacitance CNT MOSFET: 1.2 mA/µm
IEDM,2023,S2023-24,11,11-1,D2,Memory Devices & Technology,Devices & Process Technology,session,High-Endurance MoS FeFET with Operating Voltage Less Than 1V for eNVM in Scaled CMOS
IEDM,2023,S2023-24,11,11-2,D2,Memory Devices & Technology,Devices & Process Technology,session,First Demonstration of Annealing-Free Top Gate La:HZO-IGZO FeFET with Record Memory
IEDM,2023,S2023-24,11,11-3,D2,Memory Devices & Technology,Devices & Process Technology,session,First Demonstration of Hafnia-based Selector-Free FeRAM with High Disturb Immunity through
IEDM,2023,S2023-24,11,11-4,D2,Memory Devices & Technology,Devices & Process Technology,session,Pulse-Based Capacitive Memory Window with High Non-Destructive Read Endurance in Fully
IEDM,2023,S2023-24,11,11-5,D2,Memory Devices & Technology,Devices & Process Technology,session,AC Impedance Characteristics of Ferroelectric Hf Zr O : from 1 kHz to 10 GHz
IEDM,2023,S2023-24,11,11-6,D2,Memory Devices & Technology,Devices & Process Technology,session,"Superior retention (>1 year, 85ºC) and memory window (~1.8 V) using ultra-thin HZO FTJ with"
IEDM,2023,S2023-24,11,11-7,D2,Memory Devices & Technology,Devices & Process Technology,session,A highly reliable 1.8 V 1 Mb Hf Zr O -based 1T1C FeRAM Array with 3-D Capacitors
IEDM,2023,S2023-24,12,12-1,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Hardware Demonstration of Feedforward Stochastic Neural Networks with Fast MTJ-based p
IEDM,2023,S2023-24,12,12-2,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Memcapacitor Crossbar Array with Charge Trapping Layer for Physical Unclonable Function in
IEDM,2023,S2023-24,12,12-3,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Bayesian In-Memory Computing with Resistive Memories
IEDM,2023,S2023-24,12,12-4,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,First Demonstration of a Bayesian Machine based on Unified Memory and Random Source
IEDM,2023,S2023-24,12,12-5,D6,"Power, RF & Analog Devices",Devices & Process Technology,session,Bayesian Neural Network Implemented by Dynamically Programmable Noise in Vanadium Oxide
IEDM,2023,S2023-24,13,13-1,D3,"Interconnect, Packaging & 3D Integration",Devices & Process Technology,session,Intercalated Graphene as Next Generation Back-end-of-Line Conductors
IEDM,2023,S2023-24,13,13-2,D3,"Interconnect, Packaging & 3D Integration",Devices & Process Technology,session,Two-metal-level semi-damascene interconnect at metal pitch 18 nm and aspect-ratio 6 routed
IEDM,2023,S2023-24,13,13-3,D3,"Interconnect, Packaging & 3D Integration",Devices & Process Technology,session,Tungsten Interconnect Resistance Reduction Enabling Energy Efficient and High Performance
IEDM,2023,S2023-24,13,13-4,D3,"Interconnect, Packaging & 3D Integration",Devices & Process Technology,session,Heterogeneous Power Delivery for Large Chiplet-based Systems using Integrated GaN/Si
IEDM,2023,S2023-24,13,13-5,D3,"Interconnect, Packaging & 3D Integration",Devices & Process Technology,session,Role of Inter-Layer Dielectric on the Electrical and Heat Dissipation Characteristics in the
IEDM,2023,S2023-24,13,13-6,D3,"Interconnect, Packaging & 3D Integration",Devices & Process Technology,session,The Challenges and Solutions of Cu/SiCN Wafer-to-Wafer Hybrid Bonding Scaling Down to
